playlist_id,playlist_name,curator_type,curator,playlist_followers,track_id,track_title,artist,artist_id,artist_country,region_group,diaspora,track_popularity,artist_popularity,playlist_position,release_year,album_label,label_type,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,key,mode,time_signature
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6XM53PbvlzhuNtJZtpl7RP,In My Bed,"Rotimi, Wale",1xBARhKI09ZTmeePVDWMCf,United States,North America,True,67,56,11,2019,Unknown,Independent,0.713,0.714,0.63,104.3,0.187,0.0628,0.173,0.208,-3.51,2,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,06QUZaXSOtwRNH1ZB20JgX,STEADILY,"Mack H.D, CHUMA",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,54,54,12,2025,Unknown,Independent,0.55,0.745,0.803,127.6,0.255,0.0089,0.07,0.3,-5.98,0,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2WigMwGJysIh9fRnSJvpjn,KU LO SA - A COLORS SHOW,Oxlade,3WTrdbZU99dgTtt3ZkyamT,Nigeria,West Africa,False,71,62,13,2022,Unknown,Independent,0.595,0.648,0.584,100.6,0.092,0.039,0.147,0.218,-3.0,1,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1B5I5yqLpVI5EosZS6bJFs,Call Me Every Day (feat. Wizkid),"Chris Brown, Wizkid",7bXgB6jMjp9ATFy66eO08Z,United States,North America,True,67,88,14,2022,Unknown,Independent,0.824,0.649,0.654,116.5,0.223,0.15,0.332,0.3,-5.98,0,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,048LktY5zMnakWq7PTtFrz,Nigeria,West Africa,False,75,68,15,2019,Unknown,Independent,0.714,0.737,0.641,122.1,0.155,0.1102,0.35,0.131,-5.69,11,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,4pnYLkRARBdbJsN5Fd3lkE,DIANA,"Bolu Ajibade, Friyie",44HFYth2ExH9jiZrlLjxTg,Nigeria,West Africa,False,49,45,16,2025,Unknown,Independent,0.663,0.788,0.791,125.1,0.056,0.0917,0.167,0.3,-6.29,2,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,4s6x56uNiNCAA87yzqTz5G,Sip (Alcohol),Joeboy,1XavfPKBpNjkOfxHINlMHF,Nigeria,West Africa,False,64,63,17,2023,Unknown,Independent,0.751,0.7,0.658,118.8,0.094,0.0185,0.05,0.274,-6.67,9,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,29PXxvSTsUGIhd8782WUhx,SAFE,"PapaRaZzle, Mack H.D, Keziah",4hfjJtqZRM6khacMfYHwTL,South Africa,Southern Africa,False,51,45,18,2025,Unknown,Independent,0.768,0.703,0.653,124.7,0.294,0.0107,0.197,0.3,-3.0,0,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6NOrpcicPUh2eaj8bAD44u,Baby (Is it a Crime),Rema,46pWGuE3dSwY3bMMXGBvVS,Nigeria,West Africa,False,73,77,19,2025,Unknown,Independent,0.738,0.612,0.736,100.8,0.331,0.0125,0.109,0.3,-4.62,5,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5fQuG6aDMyfQ18iMMmJpLY,Ji Jo Mi,"Mack H.D, Bolu Ajibade",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,49,54,20,2025,Unknown,Independent,0.811,0.637,0.603,103.5,0.226,0.1244,0.322,0.3,-6.54,0,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0kYtvdOI34zFYL1wQZwTQx,PLEZI LAKAY,"J. Winston7, Snapback08, Eyo-E, Mack H.D",48fK11OLtwJ5swlV9oazwM,Rwanda,East Africa,False,39,25,21,2025,Unknown,Independent,0.698,0.604,0.66,114.5,0.247,0.0051,0.152,0.3,-8.0,7,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),"Rema, Selena Gomez",46pWGuE3dSwY3bMMXGBvVS,Nigeria,West Africa,False,74,77,22,2023,Unknown,Independent,0.734,0.777,0.692,96.5,0.306,0.129,0.05,0.3,-5.16,1,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0mokoJb8vLi5OOBKWJp8ex,MESMERIZED,"Mack H.D, UGENE NGHT",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,50,54,23,2025,Unknown,Independent,0.826,0.738,0.597,114.7,0.4,0.0091,0.05,0.069,-4.15,8,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0ve0CavjqrUqVmZ605RhTV,Jump,"Tyla, Gunna, Skillibeng",3SozjO3Lat463tQICI9LcE,South Africa,Southern Africa,False,63,78,24,2024,Unknown,Independent,0.673,0.81,0.647,116.7,0.119,0.0395,0.182,0.228,-5.59,1,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,7FCPsJ66Nrn0PxyUcathkU,ENCORE,"Mack H.D, Night Myl",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,51,54,25,2025,Unknown,Independent,0.582,0.726,0.855,121.4,0.114,0.0005,0.266,0.173,-3.63,7,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6oF3DjmH2FjC3EFvqJlpHU,if u down to ride,Kobi Jonz,5k9IrMHs9Jfpk8A94Ta7nR,Nigeria,West Africa,False,50,45,26,2025,Unknown,Independent,0.735,0.774,0.773,107.7,0.247,0.1109,0.183,0.238,-6.64,10,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,44G2gUVQvNNZ6w3i05tR4n,Sensational (feat. Davido & Lojay),"Chris Brown, Davido, Lojay",7bXgB6jMjp9ATFy66eO08Z,United States,North America,True,67,88,27,2023,Unknown,Independent,0.685,0.777,0.849,109.5,0.074,0.0224,0.35,0.3,-6.45,7,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,4RoKNqyZ9622tcAeNPNv5k,City Boys,Burna Boy,3wcj11K77LjEY1PkEazffa,Nigeria,West Africa,False,70,80,28,2023,Unknown,Independent,0.654,0.747,0.609,109.4,0.013,0.0202,0.312,0.238,-5.94,1,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1O5VvYPJi40wpzle3kU027,PON MY MIND,Bolu Ajibade,44HFYth2ExH9jiZrlLjxTg,Nigeria,West Africa,False,49,45,29,2024,Unknown,Independent,0.643,0.809,0.9,109.6,0.289,0.0245,0.249,0.187,-5.29,3,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,20pQ2kEbJnMO8nQx0oFfyg,PRITI PRITI,"Mack H.D, Kobi Jonz",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,53,54,30,2024,Unknown,Independent,0.736,0.838,0.78,128.2,0.198,0.0198,0.188,0.3,-4.96,6,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5YbPxJwPfrj7uswNwoF1pJ,Last Last,Burna Boy,3wcj11K77LjEY1PkEazffa,Nigeria,West Africa,False,67,80,31,2022,Unknown,Independent,0.662,0.605,0.75,90.0,0.288,0.0379,0.182,0.3,-4.81,4,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,13VXuHw3O8Yt7VwRIDqSo4,MMS,"Asake, Wizkid",3a1tBryiczPAZpgoZN9Rzg,Nigeria,West Africa,False,70,75,32,2024,Unknown,Independent,0.555,0.764,0.655,110.3,0.084,0.094,0.05,0.3,-4.82,1,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,4aD5a55jZxiNmUjxSztekD,CUT YOU OFF,"PapaRaZzle, Mack H.D",4hfjJtqZRM6khacMfYHwTL,South Africa,Southern Africa,False,49,45,33,2024,Unknown,Independent,0.728,0.659,0.374,106.3,0.099,0.0016,0.05,0.3,-6.69,9,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1whAXVGN8AdfrnoXNIXfJf,Truth or Dare,Tyla,3SozjO3Lat463tQICI9LcE,South Africa,Southern Africa,False,67,78,34,2023,Unknown,Independent,0.662,0.656,0.711,116.6,0.067,0.0085,0.106,0.3,-3.1,5,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,7wepqmAk99KNtpfxrX3CBT,Mi Casa,Anuolu,2QClfKJomgiVmuUfSAAU9s,Nigeria,West Africa,False,47,33,35,2024,Unknown,Independent,0.659,0.748,0.785,100.6,0.26,0.0006,0.292,0.212,-3.8,8,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,26b3oVLrRUaaybJulow9kz,People,Libianca,7kjSuFGKhLm8b5qXoMhRkJ,Cameroon,Central Africa,True,76,61,36,2022,Unknown,Independent,0.738,0.7,0.639,129.1,0.069,0.0187,0.327,0.3,-4.84,6,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6VX4hVDmDMfClxp6EwDNQP,Bad Vibes (feat. Seyi Vibez),"Ayra Starr, Seyi Vibez",3ZpEKRjHaHANcpk10u6Ntq,Nigeria,West Africa,False,66,75,37,2024,Unknown,Independent,0.71,0.64,0.573,135.0,0.025,0.0058,0.08,0.075,-5.63,7,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0b3NkRxZt5FYAinS8rk1Xi,Carry,Tmaro,7zAbW4OBsFLeYw6Ni2Zsgd,Nigeria,West Africa,False,47,45,38,2024,Unknown,Independent,0.739,0.733,0.612,98.4,0.08,0.036,0.35,0.241,-5.5,7,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6bW7YnPQQffit1iwule5Vv,emiliana,CKay,048LktY5zMnakWq7PTtFrz,Nigeria,West Africa,False,67,68,39,2022,Unknown,Independent,0.732,0.656,0.533,116.5,0.137,0.0114,0.132,0.3,-5.03,2,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1hPrUdO775t6JkI56Cr8Us,SHE BE,"Mack H.D, CHUMA",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,52,54,40,2023,Unknown,Independent,0.8,0.88,0.546,131.1,0.272,0.0191,0.228,0.3,-5.76,8,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2ofdjuvecHVegpsO9CAHTS,Heartless,Garvicii,4WluWeHM8nC1XSzwsd111V,Nigeria,West Africa,False,47,32,41,2025,Unknown,Independent,0.721,0.637,0.869,92.2,0.04,0.1034,0.334,0.3,-5.16,5,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,4TVmM3vQLGEavTY1DJapYT,Comment Faire,"Mack H.D, Night Myl",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,47,54,42,2024,Unknown,Independent,0.624,0.668,0.62,126.8,0.24,0.0306,0.35,0.3,-5.71,6,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6nvkYK7MV1uhjmzcM16Ech,Isolated,"Mack H.D, Oga Silachi",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,47,54,43,2021,Unknown,Independent,0.769,0.75,0.762,116.2,0.135,0.015,0.05,0.253,-7.02,11,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,7bVlKy0pkl4jLbdGm2gxdu,CHAKRA,"PapaRaZzle, Mack H.D",4hfjJtqZRM6khacMfYHwTL,South Africa,Southern Africa,False,46,45,44,2025,Unknown,Independent,0.819,0.739,0.654,112.7,0.337,0.1294,0.081,0.235,-8.37,2,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,7qZOtiN7oiDpKqEVW7szZc,Some More,TÖME,2aRiWRO2A7xUI2sqZyJJmX,Canada,North America,False,44,27,45,2025,Unknown,Independent,0.709,0.564,0.706,111.0,0.377,0.0234,0.127,0.3,-5.6,0,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,3SAacqnIY8kK9McSIRC9Rv,YOU AND ME,PapaRaZzle,4hfjJtqZRM6khacMfYHwTL,South Africa,Southern Africa,False,46,45,46,2025,Unknown,Independent,0.55,0.701,0.858,108.9,0.335,0.029,0.165,0.205,-8.57,3,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,3TQm23FXN5UCm1SBOP0zWA,Working II,"Keith Sweat, Lil Wayne, Qing Madi",2r09Inibex3C4ZNTUVSG3m,United States,North America,True,59,61,47,2025,Unknown,Independent,0.578,0.616,0.597,98.2,0.186,0.0034,0.05,0.3,-4.94,1,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,4GXW3Ne1jzdORKHvHjK31V,Commas,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,Nigeria,West Africa,False,72,75,48,2024,Unknown,Independent,0.806,0.785,0.625,92.2,0.042,0.0115,0.345,0.182,-6.33,2,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6yhzPtNCMPl1tMdvUi3frw,Stallin',"Mack H.D, Oga Silachi, Mmzy",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,50,54,49,2022,Unknown,Independent,0.71,0.731,0.744,107.3,0.361,0.0405,0.242,0.178,-5.19,11,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2com2d42sFO1QdV6k7XAAu,No Yawa,Princess Wonda,0JRJpwTcWPoct6QSTNSqap,Nigeria,West Africa,False,45,39,50,2025,Unknown,Independent,0.715,0.631,0.705,113.4,0.26,0.049,0.115,0.271,-4.28,5,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2GZNKi3rgaT1ZKpkKDkA0Y,Bend,Wizkid,3tVQdUvClmAT7URs9V3rsp,Nigeria,West Africa,False,57,81,51,2024,Unknown,Independent,0.85,0.547,0.727,118.2,0.034,0.0419,0.143,0.3,-5.23,4,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2YNLzBRGyCAzHEGPO3J2Sb,Moving,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,Nigeria,West Africa,False,60,74,52,2024,Unknown,Independent,0.638,0.772,0.876,109.9,0.068,0.0344,0.078,0.192,-6.39,11,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0oljDKpgyXOneK8YjJnHdZ,LOVE OR LAMBA,Kobi Jonz,5k9IrMHs9Jfpk8A94Ta7nR,Nigeria,West Africa,False,53,45,53,2024,Unknown,Independent,0.55,0.771,0.631,101.7,0.314,0.0729,0.35,0.3,-6.88,0,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2kaH2Z8ezDUKf6fNw250rZ,UNAVAILABLE (feat. Musa Keys),"Davido, Musa Keys",0Y3agQaa6g2r0YmHPOO9rh,Nigeria,West Africa,False,68,75,54,2023,Unknown,Independent,0.66,0.805,0.735,113.4,0.209,0.0237,0.215,0.248,-9.5,4,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,7eOLTVEwZIbtXudBAyYc66,Desperado,Cheque,4oQyXxDBq8FBhsjjS7MbcM,Nigeria,West Africa,False,45,48,55,2025,Unknown,Independent,0.679,0.804,0.719,133.0,0.088,0.15,0.323,0.147,-5.77,8,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2MFG4eF4ero2QvkMSr1PyH,FEEL,Bolu Ajibade,44HFYth2ExH9jiZrlLjxTg,Nigeria,West Africa,False,46,45,56,2024,Unknown,Independent,0.624,0.785,0.631,112.1,0.075,0.0152,0.26,0.225,-6.09,11,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5mhM7bfzv52bzfCzlq8vH1,Ngozi,"Crayon, Ayra Starr",3Uv5hfyuC7TkLsQ6p4ikSb,Nigeria,West Africa,False,65,55,57,2023,Unknown,Independent,0.629,0.572,0.655,129.4,0.048,0.0391,0.174,0.3,-3.73,9,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5GyaXqMfcIGHfmTUITFacS,With You (feat. Omah Lay),"Davido, Omah Lay",0Y3agQaa6g2r0YmHPOO9rh,Nigeria,West Africa,False,76,75,58,2025,Unknown,Independent,0.613,0.847,0.56,131.0,0.193,0.0977,0.109,0.3,-7.03,4,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5sjjtqitEMcArBkjGSKf5r,KOLE YE WON,"Mack H.D, Morrelo",0IUp0l21VlpoOz8525KfAJ,Haiti/USA,North America,True,45,54,59,2025,Unknown,Independent,0.55,0.755,0.616,100.6,0.163,0.15,0.35,0.122,-6.29,4,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),"Wizkid, Tems",3tVQdUvClmAT7URs9V3rsp,Nigeria,West Africa,False,72,81,60,2020,Unknown,Independent,0.705,0.672,0.784,113.6,0.4,0.0514,0.084,0.3,-4.9,11,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0QCIpQV3twfqo9kh0t8Zza,Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",2hVWBpjLW4Q7fboYz2pVYK,Ghana,West Africa,False,84,73,61,2025,Unknown,Independent,0.588,0.792,0.829,122.1,0.312,0.0424,0.171,0.3,-7.01,10,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6QCHpnMTgQqDtCAkgE3txC,Tu es qui,"Neaj, Stelair",0eFmnuvX7ZDCsnOesNifzb,South Africa,Southern Africa,False,46,36,62,2024,Unknown,Independent,0.65,0.914,0.749,112.6,0.065,0.096,0.05,0.3,-4.82,7,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1xPu1puL75DBJpPoPBEd3y,Gyal Over There (feat. Konshens),"Offica, Konshens",3z9G13I73VCCZgf2j7i8q2,Ireland/Nigeria,Europe,False,44,40,63,2025,Unknown,Independent,0.589,0.739,0.468,110.8,0.065,0.0221,0.11,0.192,-6.0,2,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6JvWMLscnWYkgX1zPufIGT,Kese (Dance),Wizkid,3tVQdUvClmAT7URs9V3rsp,Nigeria,West Africa,False,68,81,64,2024,Unknown,Independent,0.635,0.604,0.668,134.5,0.183,0.0039,0.231,0.3,-4.2,3,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,3rmqNsOiGqqvFNTmGlzl4R,Ta Ta Ta,Bayanni,6FbCERtE2CKqEWihHMYjcG,Nigeria,West Africa,False,61,56,65,2022,Unknown,Independent,0.738,0.718,0.618,100.5,0.4,0.0016,0.238,0.166,-4.94,10,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5Ig0OEh723kKB4pbN0xGGg,It's You,"Aredikay, zzamar",78q8CdJsgdYwPjl9z1BZW0,France,Western Europe,True,49,31,66,2023,Unknown,Independent,0.742,0.633,0.592,90.5,0.4,0.0462,0.325,0.277,-5.53,2,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2psl5iNJCrmmm2XtS7LZqb,Soundgasm,Rema,46pWGuE3dSwY3bMMXGBvVS,Nigeria,West Africa,False,58,77,67,2022,Unknown,Independent,0.721,0.787,0.863,122.5,0.355,0.0334,0.205,0.181,-6.02,2,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,3nT2nrfb3FMLg03W4mPaBl,Cough (Odo),Kizz Daniel,1X6cBGnXpEpN7CmflLKmLV,Nigeria,West Africa,False,64,68,68,2023,Unknown,Independent,0.725,0.635,0.441,114.2,0.131,0.037,0.245,0.3,-4.43,1,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1Cbl3Yq8rHo7hhDQmLQagU,PUSH 2 START,Tyla,3SozjO3Lat463tQICI9LcE,South Africa,Southern Africa,False,80,78,69,2024,Unknown,Independent,0.68,0.666,0.531,134.0,0.032,0.0369,0.246,0.09,-6.43,2,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2AKS1HhpLu2rgkojECUm3V,Playboy,Fireboy DML,75VKfyoBlkmrJFDqo1o2VY,Nigeria,West Africa,False,64,71,70,2022,Unknown,Independent,0.645,0.729,0.808,109.5,0.219,0.0121,0.224,0.3,-4.13,8,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1mk8ZC9OeTZMr8Wy31LqRj,FEEL,Davido,0Y3agQaa6g2r0YmHPOO9rh,Nigeria,West Africa,False,66,75,71,2023,Unknown,Independent,0.696,0.655,0.365,92.5,0.229,0.0237,0.134,0.3,-4.01,6,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,5hVjoL3sHepZROri63wBxP,It's Plenty,Burna Boy,3wcj11K77LjEY1PkEazffa,Nigeria,West Africa,False,66,80,72,2022,Unknown,Independent,0.579,0.754,0.701,125.1,0.166,0.0132,0.117,0.3,-6.47,5,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,1iBWjQ9af9NnUd5xnQDB3k,Charm,Rema,46pWGuE3dSwY3bMMXGBvVS,Nigeria,West Africa,False,69,77,73,2023,Unknown,Independent,0.706,0.694,0.681,90.0,0.261,0.014,0.221,0.263,-3.0,5,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,6z5y2kdxF4XrEVRFVqdGVL,Asiwaju,Ruger,0a1SidMjD8D6EHvJph4n2H,Nigeria,West Africa,False,72,67,74,2023,Unknown,Independent,0.773,0.81,0.598,99.2,0.085,0.0655,0.155,0.201,-5.9,8,1,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,49ytLGEP5S20N3AhB5YuwJ,Party No Dey Stop (with Zinoleesky),"Adekunle Gold, Zinoleesky",2IK173RXLiCSQ8fhDlAb3s,Nigeria,West Africa,False,66,66,75,2023,Unknown,Independent,0.605,0.653,0.353,99.5,0.4,0.0087,0.181,0.083,-5.15,11,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,2qWwuCVeMjF9mUT0S5Iqvl,Bandana,"Fireboy DML, Asake",75VKfyoBlkmrJFDqo1o2VY,Nigeria,West Africa,False,69,71,76,2022,Unknown,Independent,0.55,0.579,0.616,99.3,0.267,0.0213,0.255,0.3,-5.4,1,0,4
afrobeats-hits,Afrobeats Hits 🔥,Independent Curator,EMA Records,357499,0XQuWhRG7qD7OYHKsgt0BN,If,Davido,0Y3agQaa6g2r0YmHPOO9rh,Nigeria,West Africa,False,56,75,77,2017,Unknown,Independent,0.729,0.725,0.841,125.2,0.107,0.0512,0.264,0.263,-7.62,1,0,4
